country,country_code_2_digit,country_code_3_digit,population,cases_count,deaths_count,reported_date,source
Finland,FI,FIN,5517919,1,0,3/4/2020,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,0,0,1/5/2020,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,13,0,8/1/2020,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,205,0,10/20/2020,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,90,0,8/27/2020,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,24,1,4/21/2020,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,83,8,4/27/2020,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,283,79,6/10/2020,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,6/20/2020,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,6,3,4/22/2020,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,14,0,3/11/2020,"Epidemic intelligence, national daily data"
Faroes,,,48865,11,0,8/12/2020,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,0,0,7/9/2020,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,2,0,7/15/2020,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,118,5,4/9/2020,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,118,2,4/10/2020,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,9,1,6/26/2020,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,0,0,8/1/2020,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,0,0,9/30/2020,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,51,0,9/15/2020,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,4,0,5/6/2020,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,195,10,7/10/2020,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,1,0,4/26/2020,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,4268,44,4/21/2020,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,0,0,2/12/2020,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,2236,58,10/7/2020,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,595,8,8/18/2020,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,0,0,1/9/2020,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,12,1,5/3/2020,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,0,0,2/20/2020,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,0,0,5/18/2020,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,13873,218,10/20/2020,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,416,3,10/23/2020,"Epidemic intelligence, national daily data"
